latitude,longitude,walkscore,bikescore,transitscore
44.94427,-92.95023,35,NaN,None
44.94260,-92.95007,36,NaN,None
44.94323,-92.92332,57,NaN,None
44.92074,-92.91859,11,NaN,None
44.87144,-92.91740,0,NaN,None
44.93232,-92.89699,7,NaN,None
44.90492,-92.88775,2,NaN,None
44.91998,-92.86420,0,NaN,None
44.93444,-93.15779,62,68.0,None
44.94762,-93.14622,75,69.0,None
44.98940,-93.13899,45,56.0,None
44.98262,-93.12015,32,45.0,None
44.94439,-93.11568,78,77.0,None
44.97809,-93.08278,65,55.0,None
44.97855,-93.07958,65,49.0,None
44.97538,-93.03849,66,69.0,None
44.95240,-93.03053,51,44.0,None
44.97534,-93.02667,47,50.0,None
44.96507,-93.01403,37,58.0,None
44.97506,-93.01228,13,50.0,None
44.97398,-93.01227,13,50.0,None
44.92666,-92.99156,9,NaN,None
44.91018,-92.98799,2,NaN,None
44.89612,-92.97173,3,NaN,None
44.95641,-92.96687,46,NaN,None
44.99271,-92.95664,3,NaN,None
44.96896,-92.95187,25,NaN,None
44.94248,-92.89455,48,NaN,None
44.93974,-92.89197,30,NaN,None
44.89890,-92.88456,3,NaN,None
44.98894,-92.87064,1,NaN,None
44.93506,-93.16015,63,67.0,None
44.95941,-93.15258,62,73.0,None
44.99034,-93.14135,59,53.0,None
44.93963,-93.13417,90,69.0,None
44.98786,-93.12879,19,39.0,None
44.92151,-93.09664,62,41.0,None
45.00480,-93.06991,5,NaN,None
44.98187,-93.06324,67,75.0,None
44.99082,-93.05125,22,57.0,None
45.03197,-93.04800,17,NaN,None
44.95477,-93.04132,29,43.0,None
44.96214,-93.03437,35,43.0,None
44.97684,-93.03017,57,53.0,None
44.97887,-93.02274,41,56.0,None
44.95873,-93.01943,47,56.0,None
44.89644,-92.99383,0,NaN,None
44.88641,-92.94929,10,NaN,None
44.94391,-92.94441,38,NaN,None
44.92322,-92.91379,7,NaN,None
44.90492,-92.88770,2,NaN,None
44.90087,-92.88449,2,NaN,None
44.89125,-92.88425,0,NaN,None
44.92861,-93.17908,57,72.0,None
44.94647,-93.17644,80,79.0,None
44.92960,-93.15613,72,69.0,None
44.93781,-93.15341,70,NaN,None
44.98947,-93.14852,72,63.0,None
44.94508,-93.14577,79,74.0,None
44.96498,-93.14189,38,63.0,None
44.99711,-93.09801,20,NaN,None
44.97833,-93.08153,62,49.0,None
44.98735,-93.06876,45,56.0,None
44.99786,-93.04070,30,NaN,None
44.95969,-93.01884,43,59.0,None
44.92270,-93.00643,1,27.0,None
44.90579,-92.99723,1,NaN,None
45.01406,-92.98269,40,NaN,None
44.97057,-92.98013,43,NaN,None
44.90880,-92.97602,21,NaN,None
44.97969,-92.96121,3,NaN,None
44.89978,-92.95668,5,NaN,None
44.89933,-92.95325,6,NaN,None
44.91489,-92.91927,16,NaN,None
44.91400,-92.89839,13,NaN,None
44.94300,-92.89798,53,NaN,None
44.89941,-92.88745,2,NaN,None
44.89866,-92.87100,3,NaN,None
44.93227,-93.19649,30,68.0,None
44.91245,-93.18520,69,56.0,None
44.92135,-93.17375,49,60.0,None
44.90403,-93.16324,63,63.0,None
44.92859,-93.15587,77,67.0,None
44.93690,-93.15251,64,69.0,None
44.94161,-93.14772,86,76.0,None
44.93328,-93.11578,55,73.0,None
44.92329,-93.10597,51,57.0,None
44.96936,-93.09462,24,56.0,None
44.95032,-93.08563,89,74.0,None
44.99032,-93.04932,18,56.0,None
44.91828,-92.96186,37,NaN,None
44.93510,-92.95101,36,NaN,None
44.91453,-92.93128,41,NaN,None
44.90609,-92.93076,5,NaN,None
44.89291,-92.90233,7,NaN,None
44.91225,-92.89445,7,NaN,None
44.91730,-92.88898,10,NaN,None
44.94611,-93.18235,73,77.0,None
44.94129,-93.16956,82,75.0,None
44.92450,-93.16936,62,64.0,None
44.98780,-93.16656,59,55.0,None
44.95048,-93.16571,77,80.0,None
44.96279,-93.15105,42,62.0,None
44.92230,-93.14233,53,64.0,None
44.94570,-93.13550,81,63.0,None
44.92761,-93.13127,68,70.0,None
44.92377,-93.10301,64,61.0,None
44.92941,-93.10080,46,60.0,None
44.99618,-93.09254,30,NaN,None
44.96304,-93.08376,56,63.0,None
44.96226,-93.05872,69,66.0,None
45.03493,-93.05174,2,NaN,None
44.94960,-93.01100,61,76.0,None
44.92859,-93.00014,17,NaN,None
44.98704,-92.99570,8,NaN,None
44.97733,-92.97437,3,NaN,None
44.96352,-92.97089,42,NaN,None
44.87113,-92.90914,0,NaN,None
44.95296,-92.90711,8,NaN,None
44.97847,-93.16411,61,70.0,None
44.93598,-93.15829,61,67.0,None
44.93028,-93.15027,57,68.0,None
44.96017,-93.15002,62,69.0,None
44.99000,-93.11852,22,27.0,None
44.96095,-93.11846,77,78.0,None
44.97838,-93.11368,47,49.0,None
44.92910,-93.10387,42,45.0,None
44.92124,-93.00010,3,NaN,None
44.91582,-92.99002,2,NaN,None
45.02894,-92.98296,27,NaN,None
45.00421,-92.97963,18,NaN,None
44.90813,-92.97756,17,NaN,None
44.91016,-92.97604,23,NaN,None
44.92067,-92.95409,36,NaN,None
44.89356,-92.93941,4,NaN,None
44.93278,-92.93155,45,NaN,None
44.87810,-92.91962,0,NaN,None
44.88469,-92.91817,2,NaN,None
44.93242,-92.90052,9,NaN,None
45.01150,-92.89603,0,NaN,None
44.89104,-92.88705,0,NaN,None
44.89508,-92.87573,1,NaN,None
44.91968,-93.17604,59,58.0,None
44.91411,-93.17310,47,47.0,None
44.92309,-93.16744,60,62.0,None
44.94300,-93.15569,73,81.0,None
44.94590,-93.15544,66,83.0,None
44.96321,-93.15253,45,65.0,None
44.93619,-93.14982,54,58.0,None
44.97261,-93.08126,68,49.0,None
45.00711,-93.08012,13,NaN,None
44.97865,-93.06777,79,56.0,None
44.95597,-93.02232,54,48.0,None
44.98814,-93.01928,63,65.0,None
44.96692,-93.01657,38,52.0,None
44.98905,-92.97434,4,NaN,None
44.98674,-92.96615,9,NaN,None
44.96965,-92.95264,26,NaN,None
44.89300,-92.94957,5,NaN,None
44.89301,-92.94073,4,NaN,None
44.91400,-92.91835,16,NaN,None
44.93313,-93.17618,67,72.0,None
44.90235,-93.16055,51,60.0,None
44.96463,-93.15043,38,64.0,None
44.97401,-93.13979,40,73.0,None
44.97448,-93.12866,39,72.0,None
44.95099,-93.12862,75,65.0,None
44.95482,-93.11729,87,83.0,None
44.97819,-93.06167,77,60.0,None
45.03079,-93.05258,4,NaN,None
44.95581,-93.03445,36,40.0,None
44.98090,-93.02817,50,49.0,None
44.97600,-92.99319,34,NaN,None
44.91280,-92.98846,5,NaN,None
44.91411,-92.98638,5,NaN,None
44.98731,-92.96631,9,NaN,None
44.98003,-92.96373,3,NaN,None
45.01730,-92.95072,0,NaN,None
44.89148,-92.95070,3,NaN,None
44.91809,-92.92579,42,NaN,None
44.91281,-92.91919,11,NaN,None
44.91308,-92.91766,7,NaN,None
44.90802,-92.89695,1,NaN,None
44.93366,-93.18296,69,71.0,None
44.94486,-93.15739,70,80.0,None
44.97816,-93.14385,40,71.0,None
44.92246,-93.13986,57,68.0,None
44.99096,-93.10868,68,58.0,None
44.92503,-93.07498,52,45.0,None
44.99274,-93.06934,21,NaN,None
44.95667,-93.05794,58,52.0,None
45.01903,-93.02682,28,NaN,None
44.92840,-92.99055,10,NaN,None
44.89206,-92.96863,3,NaN,None
44.93502,-92.95108,36,NaN,None
44.91832,-92.94951,28,NaN,None
45.03293,-92.94587,0,NaN,None
44.89480,-92.94213,6,NaN,None
