,Tuition,PCTPELL
757,22209.0,0.4005
758,17934.0,0.3659
759,9285.0,0.5854
760,13516.0,0.3850
761,11626.0,0.2495
762,13298.0,0.2545
763,15770.0,0.2161
764,11202.0,0.2044
765,16400.0,0.2010
766,15139.0,0.2039
767,20488.0,0.5683
768,11610.0,0.2504
769,17350.0,0.3735
770,21723.0,0.5243
771,21778.0,0.2146
772,21870.0,0.5223
773,21160.0,0.3691
774,18437.0,0.3236
775,22092.0,0.2987
776,27949.0,0.1755
777,21270.0,0.2065
778,10802.0,0.7328
779,20108.0,0.4059
780,19545.0,0.4676
781,22180.0,0.2499
782,12094.0,0.3959
783,12351.0,0.4162
784,32033.0,0.4293
785,17136.0,0.4253
786,27884.0,0.1083
787,24014.0,0.4223
788,22594.0,0.1798
789,25611.0,0.4579
790,20459.0,0.4371
791,23207.0,0.4437
792,23702.0,0.2271
793,10424.0,0.5380
794,10000.0,0.5279
795,9493.0,0.5104
796,10629.0,0.5781
797,10048.0,0.4441
798,10429.0,0.4858
799,18978.0,0.3220
800,9781.0,0.3936
801,29516.0,0.0956
802,20479.0,0.3369
803,18809.0,0.4973
804,19773.0,0.3815
805,19611.0,0.2881
806,11061.0,0.4294
807,11661.0,0.4098
808,22011.0,0.1227
809,15019.0,0.2665
810,23286.0,0.3224
811,18205.0,0.4152
812,18443.0,0.3910
813,19684.0,0.3018
814,32061.0,0.0956
815,21910.0,0.3357
816,23164.0,0.2113
817,12096.0,0.3814
818,15329.0,0.4494
819,10902.0,0.4279
820,15418.0,0.3817
821,18099.0,0.2141
822,8431.0,0.2904
823,9972.0,0.6075
824,9583.0,0.5302
825,9273.0,0.4830
826,20826.0,0.2637
827,8674.0,0.4253
828,24123.0,0.1964
829,24882.0,0.2262
830,14839.0,0.3356
831,17859.0,0.2061
832,15298.0,0.4320
833,18787.0,0.6703
834,22118.0,0.4342
835,24131.0,0.1922
836,14101.0,0.3756
837,8425.0,0.3489
838,27418.0,0.1739
839,11691.0,0.4765
840,22732.0,0.9463
841,21444.0,0.2905
842,12141.0,0.3369
843,6783.0,0.4472
844,14827.0,0.4912
845,8604.0,0.4963
846,7784.0,0.3391
847,18190.0,0.2835
848,11316.0,0.2188
849,13894.0,0.2829
850,16703.0,0.3790
851,27849.0,0.2004
852,16418.0,0.2302
853,22026.0,0.4381
854,13346.0,0.4575
855,7314.0,0.4325
856,8181.0,0.4578
857,12445.0,0.5566
858,11514.0,0.3572
859,25355.0,0.1376
860,19713.0,0.4248
861,15309.0,0.4671
862,26298.0,0.3232
863,25278.0,0.2674
864,18668.0,0.5262
865,16176.0,0.3213
866,19020.0,0.3016
867,15769.0,0.2510
868,29422.0,0.3255
869,14323.0,0.4134
870,32217.0,0.1998
871,23267.0,0.1820
872,15392.0,0.3831
873,23289.0,0.4045
874,29770.0,0.1985
875,16371.0,0.4645
876,26795.0,0.2661
877,24270.0,0.3980
878,25755.0,0.3412
879,18546.0,0.3268
880,28732.0,0.1613
881,36834.0,0.1091
882,18735.0,0.3887
883,18207.0,0.5019
884,34857.0,0.1298
885,18072.0,0.4419
886,15864.0,0.5930
887,23701.0,0.4497
888,17936.0,0.3883
889,27084.0,0.2828
890,37747.0,0.2112
891,27412.0,0.1970
892,18450.0,0.3455
893,23294.0,0.4067
894,15309.0,0.4774
895,27651.0,0.1952
896,21484.0,0.2646
897,18905.0,0.4474
898,24490.0,0.3757
899,23336.0,0.1633
900,14743.0,0.3542
901,33739.0,0.2348
902,18221.0,0.3702
903,19629.0,0.5127
904,19510.0,0.3412
905,19732.0,0.3241
906,25926.0,0.3836
907,32047.0,0.0983
908,20979.0,0.5068
909,33300.0,0.1478
910,14620.0,0.6318
911,16809.0,0.4110
912,17819.0,0.3274
913,18048.0,0.4318
914,22542.0,0.3600
915,25822.0,0.1965
916,19140.0,0.3408
917,26931.0,0.2730
918,27898.0,0.3019
919,20825.0,0.3935
920,23847.0,0.3993
921,24392.0,0.3037
922,14718.0,0.3368
923,13447.0,0.4879
924,16101.0,0.3451
925,14650.0,0.4707
926,14208.0,0.3734
927,23969.0,0.3210
928,16595.0,0.3889
929,22833.0,0.3564
930,21404.0,0.3224
931,14631.0,0.3595
932,14666.0,0.4293
933,14323.0,0.4170
934,19096.0,0.4671
935,29226.0,0.1609
936,16125.0,0.4768
937,20948.0,0.3574
938,13464.0,0.4082
939,15424.0,0.4950
940,14761.0,0.3108
941,25225.0,0.1392
942,27368.0,0.3240
943,33861.0,0.3050
944,17975.0,0.4330
945,31572.0,0.2003
946,17116.0,0.4229
947,17737.0,0.3752
948,19144.0,0.3001
949,27917.0,0.1665
950,21971.0,0.4085
951,24305.0,0.2927
952,20565.0,0.4957
953,25784.0,0.2818
954,19521.0,0.2903
955,32288.0,0.1848
956,20449.0,0.3129
957,18493.0,0.3225
958,21858.0,0.1537
959,22870.0,0.4088
960,23673.0,0.4412
961,36563.0,0.1145
962,16851.0,0.3405
963,22250.0,0.2540
964,20615.0,0.3227
965,26937.0,0.2549
966,22975.0,0.3597
967,18849.0,0.3544
968,21267.0,0.2608
969,27496.0,0.1599
970,9613.0,0.4298
971,19177.0,0.2686
972,43582.0,0.1624
973,20191.0,0.3085
974,17241.0,0.4938
975,17826.0,0.2264
976,17454.0,0.2559
977,21426.0,0.7515
978,15885.0,0.1834
979,16868.0,0.5459
980,18833.0,0.4732
981,17921.0,0.5277
982,17304.0,0.4396
983,17802.0,0.4257
984,11915.0,0.5684
985,13101.0,0.4873
986,22378.0,0.5308
987,20053.0,0.4977
988,22308.0,0.3875
989,18963.0,0.2391
990,13538.0,0.4085
991,14466.0,0.4359
992,18555.0,0.2248
993,14955.0,0.3770
994,19136.0,0.7453
995,14190.0,0.4801
996,15760.0,0.4059
997,22964.0,0.1888
998,19052.0,0.1981
999,14953.0,0.3114
1000,14690.0,0.2504
1001,19203.0,0.3075
1002,20084.0,0.2103
1003,14738.0,0.2036
1004,21772.0,0.4554
1005,18131.0,0.2655
1006,21762.0,0.2463
1007,20345.0,0.3186
1008,16396.0,0.2628
1009,11984.0,0.5252
1010,9374.0,0.5205
1011,32568.0,0.1782
1012,17859.0,0.5359
1013,15339.0,0.3519
1014,15792.0,0.4024
1015,8065.0,0.4228
1016,17596.0,0.3317
1017,24560.0,0.2456
1018,15245.0,0.4235
1019,15975.0,0.5726
1020,17361.0,0.3174
1021,10304.0,0.5079
1022,15200.0,0.5006
1023,19013.0,0.4800
1024,13637.0,0.9247
1025,9114.0,0.8151
1026,19246.0,0.3618
1027,12454.0,0.4932
1028,16138.0,0.4584
1029,13353.0,0.4741
1030,11381.0,0.4421
1031,27322.0,0.1374
1032,12326.0,0.5151
1033,13378.0,0.3534
1034,18138.0,0.2942
1035,7732.0,0.4872
1036,13962.0,0.3424
1037,15898.0,0.3309
1038,18503.0,0.5739
1039,24569.0,0.2727
1040,18144.0,0.1395
1041,23507.0,0.2630
1042,14244.0,0.4018
1043,22565.0,0.2723
1044,32657.0,0.1983
1045,20208.0,0.3957
1046,14361.0,0.4031
1047,24645.0,0.2898
1048,20333.0,0.6214
1049,25366.0,0.2125
1050,20590.0,0.4647
1051,8372.0,0.4871
1052,9327.0,0.5065
1053,20215.0,0.3387
1054,20057.0,0.4733
1055,13185.0,0.4057
1056,7465.0,0.4743
1057,14134.0,0.3838
1058,18061.0,0.4371
1059,17545.0,0.6595
1060,20821.0,0.3946
1061,13018.0,0.4294
1062,9087.0,0.5662
1063,21098.0,0.3333
1064,21152.0,0.3537
1065,23676.0,0.4129
1066,20989.0,0.4786
1067,9516.0,0.3890
1068,12784.0,0.3644
1069,32666.0,0.5540
1070,16493.0,0.5812
1071,4250.0,0.6420
1072,17948.0,0.9963
1073,11029.0,0.6604
1074,21024.0,0.1546
1075,20034.0,0.3477
1076,20348.0,0.3296
1077,12887.0,0.4306
1078,19962.0,0.4435
1079,17691.0,0.4983
1080,32580.0,0.1516
1081,24819.0,0.5432
1082,22573.0,0.2653
1083,15473.0,0.4165
1084,14676.0,0.3500
1085,19125.0,0.5282
1086,13042.0,0.5847
1087,15364.0,0.3980
1088,12602.0,0.5357
1089,13426.0,0.2173
1090,14059.0,0.3748
1091,17742.0,0.2476
1092,12940.0,0.3548
1093,6638.0,0.5878
1094,15162.0,0.3618
1095,32005.0,0.1278
1096,18425.0,0.3959
1097,5823.0,0.2313
1098,11843.0,0.4397
1099,19221.0,0.6398
1100,16804.0,0.2808
1101,24775.0,0.4262
1102,9105.0,0.4544
1103,24581.0,0.1687
1104,15438.0,0.3548
1105,12771.0,0.3925
1106,12597.0,0.3716
1107,9764.0,0.2400
1108,14434.0,0.3827
1109,11559.0,0.3679
1110,13969.0,0.2988
1111,22078.0,0.2387
1112,16679.0,0.3592
1113,33674.0,0.2254
1114,14852.0,0.5028
1115,14810.0,0.3908
1116,23303.0,0.1334
1117,19866.0,0.5538
1118,17414.0,0.1743
1119,20054.0,0.5164
1120,19778.0,0.4946
1121,19722.0,0.2717
1122,18300.0,0.1105
1123,17986.0,0.4716
1124,22618.0,0.1523
1125,20166.0,0.3854
1126,21344.0,0.3297
1127,17798.0,0.5706
1128,19245.0,0.2658
1129,27154.0,0.1982
1130,28272.0,0.3857
1131,17408.0,0.4597
1132,19669.0,0.1463
1133,23815.0,0.4988
1134,19650.0,0.2315
1135,21592.0,0.3267
1136,18653.0,0.5791
1137,20186.0,0.1670
1138,25146.0,0.2708
1139,13258.0,0.6296
1140,15935.0,0.3653
1141,25266.0,0.2389
1142,24215.0,0.2904
1143,23329.0,0.1817
1144,27985.0,0.2546
1145,27779.0,0.2542
1146,24606.0,0.2836
1147,9062.0,0.4023
1148,20172.0,0.1720
1149,21741.0,0.2857
